trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
131,False,"{'a': 0.5, 'e': 0.3449999999999994}",20,10,-25.990368889311814,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
132,False,"{'a': 0.5, 'e': 0.3399999999999994}",25,13,3.6853410374724547,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.3349999999999994}",20,3,-5.558497936293346,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.3299999999999994}",25,16,15.609550895064862,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.3249999999999994}",30,3,-76.55553312233964,"{0: 19, 1: 0, 2: 6, 3: 2, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.3199999999999994}",30,10,22.77380695906921,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.3149999999999994}",25,3,-23.381844506231307,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",1
138,False,"{'a': 0.5, 'e': 0.3099999999999994}",25,2,-2.6523045816450552,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.3049999999999994}",25,12,12.292944980879632,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.2999999999999994}",20,0,10.595629415068379,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
141,False,"{'a': 0.5, 'e': 0.2949999999999994}",25,14,8.072685056691038,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.28999999999999937}",35,18,-20.13913882185774,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 0}",1
